Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Date, name, Model, Lx x Ly, seed, IOs, #escorts, k', Load, Escorts, ret. time, cpu time
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 6, [(0 0)],5,  2, (0 5), [(0 0) (0 2) (0 4) (2 4) (5 1)], 11, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 7, [(0 0)],5,  2, (3 2), [(0 3) (0 4) (1 3) (4 1) (4 2)], 11, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 8, [(0 0)],5,  2, (2 2), [(1 2) (2 0) (3 4) (3 5) (4 0)], 7, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 9, [(0 0)],5,  2, (4 5), [(1 2) (1 5) (2 5) (3 5) (4 3)], 17, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 10, [(0 0)],5,  2, (0 2), [(0 0) (2 1) (2 2) (4 3) (5 0)], 4, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 11, [(0 0)],5,  2, (4 4), [(0 5) (2 0) (4 5) (5 2) (5 5)], 16, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 12, [(0 0)],5,  2, (5 0), [(1 3) (2 0) (2 5) (3 4) (5 3)], 15, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 13, [(0 0)],5,  2, (2 4), [(1 3) (1 5) (2 2) (3 0) (4 3)], 11, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 14, [(0 0)],5,  2, (1 0), [(1 3) (2 3) (2 4) (2 5) (5 3)], 5, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 15, [(0 0)],5,  2, (2 1), [(0 0) (0 2) (1 4) (4 5) (5 3)], 7, 0.001
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 16, [(0 0)],5,  2, (3 5), [(1 1) (3 0) (4 2) (5 0) (5 4)], 18, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 17, [(0 0)],5,  2, (5 3), [(0 5) (3 0) (3 1) (3 5) (4 2)], 17, 0.002
Sat Sep 19 15:29:04 2020, set6x6_k2_corner, LM, 6x6, 18, [(0 0)],5,  2, (1 5), [(1 0) (1 1) (2 3) (3 3) (4 4)], 14, 0.002
